codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+004A,J,LATIN CAPITAL LETTER J,Lu,289,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+004B,K,LATIN CAPITAL LETTER K,Lu,3984,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+004C,L,LATIN CAPITAL LETTER L,Lu,7197,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+004D,M,LATIN CAPITAL LETTER M,Lu,12186,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+004E,N,LATIN CAPITAL LETTER N,Lu,8206,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+004F,O,LATIN CAPITAL LETTER O,Lu,12758,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0050,P,LATIN CAPITAL LETTER P,Lu,8553,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0051,Q,LATIN CAPITAL LETTER Q,Lu,510,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0052,R,LATIN CAPITAL LETTER R,Lu,10032,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0053,S,LATIN CAPITAL LETTER S,Lu,13864,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0054,T,LATIN CAPITAL LETTER T,Lu,14836,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0055,U,LATIN CAPITAL LETTER U,Lu,4011,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0056,V,LATIN CAPITAL LETTER V,Lu,2293,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0057,W,LATIN CAPITAL LETTER W,Lu,1532,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0058,X,LATIN CAPITAL LETTER X,Lu,2621,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0059,Y,LATIN CAPITAL LETTER Y,Lu,1508,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+005A,Z,LATIN CAPITAL LETTER Z,Lu,1560,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+005B,[,LEFT SQUARE BRACKET,Ps,1934,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+005D,],RIGHT SQUARE BRACKET,Pe,1934,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+005E,^,CIRCUMFLEX ACCENT,Sk,1,STAGEDAT_OLANG,NO,YES,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+005F,_,LOW LINE,Pc,1114,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0060,`,GRAVE ACCENT,Sk,1,LOOSE_OLANG,NO,YES,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+0061,a,LATIN SMALL LETTER A,Ll,7174,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0062,b,LATIN SMALL LETTER B,Ll,720,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0063,c,LATIN SMALL LETTER C,Ll,1850,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
